estimation.x,estimation.y,valification.x,valification.y
193,236,193,236
204,265,192,267
212,295,196,297
216,325,197,266
217,356,204,296
215,387,205,327
210,417,227,348
201,447,232,318
189,476,263,320
174,503,254,349
2104567296,21897,265,378
0,0,249,404
2104567297,21897,256,434
2099828344,21897,244,463
0,0,214,469
2104560640,21897,186,481
2104560768,21897,195,452
81,0,176,476
